no;date;monday;tuesday;wednesday;thursday;friday;saturday;sunday;promo;quantity
107;17/04/2001;0;1;0;0;0;0;0;1;19
108;18/04/2001;0;0;1;0;0;0;0;1;17
109;19/04/2001;0;0;0;1;0;0;0;1;13
110;20/04/2001;0;0;0;0;1;0;0;1;12
111;21/04/2001;0;0;0;0;0;1;0;1;12
112;22/04/2001;0;0;0;0;0;0;1;1;2
113;23/04/2001;1;0;0;0;0;0;0;1;11
114;24/04/2001;0;1;0;0;0;0;0;1;16
115;25/04/2001;0;0;1;0;0;0;0;1;9
116;26/04/2001;0;0;0;1;0;0;0;1;10
117;27/04/2001;0;0;0;0;1;0;0;1;15
118;28/04/2001;0;0;0;0;0;1;0;1;4
119;29/04/2001;0;0;0;0;0;0;1;1;0
120;30/04/2001;1;0;0;0;0;0;0;1;14
121;01/05/2001;0;1;0;0;0;0;0;NA;NA
122;02/05/2001;0;0;1;0;0;0;0;1;15
123;03/05/2001;0;0;0;1;0;0;0;1;12
124;04/05/2001;0;0;0;0;1;0;0;1;10
125;05/05/2001;0;0;0;0;0;1;0;1;5
126;06/05/2001;0;0;0;0;0;0;1;1;1
127;07/05/2001;1;0;0;0;0;0;0;1;13
128;08/05/2001;0;1;0;0;0;0;0;NA;NA
129;09/05/2001;0;0;1;0;0;0;0;1;14
130;10/05/2001;0;0;0;1;0;0;0;1;11
131;11/05/2001;0;0;0;0;1;0;0;1;18
132;12/05/2001;0;0;0;0;0;1;0;1;4
133;13/05/2001;0;0;0;0;0;0;1;1;1
134;14/05/2001;1;0;0;0;0;0;0;1;14
135;15/05/2001;0;1;0;0;0;0;0;1;16
136;16/05/2001;0;0;1;0;0;0;0;1;10
137;17/05/2001;0;0;0;1;0;0;0;1;17
138;18/05/2001;0;0;0;0;1;0;0;1;32
139;19/05/2001;0;0;0;0;0;1;0;1;16
140;20/05/2001;0;0;0;0;0;0;1;1;6
141;21/05/2001;1;0;0;0;0;0;0;1;22
142;22/05/2001;0;1;0;0;0;0;0;1;24
143;23/05/2001;0;0;1;0;0;0;0;1;21
144;24/05/2001;0;0;0;1;0;0;0;1;19
145;25/05/2001;0;0;0;0;1;0;0;1;25
146;26/05/2001;0;0;0;0;0;1;0;1;9
147;27/05/2001;0;0;0;0;0;0;1;1;4
148;28/05/2001;1;0;0;0;0;0;0;1;39
149;29/05/2001;0;1;0;0;0;0;0;1;15
150;30/05/2001;0;0;1;0;0;0;0;1;19
151;31/05/2001;0;0;0;1;0;0;0;1;16
152;01/06/2001;0;0;0;0;1;0;0;1;27
153;02/06/2001;0;0;0;0;0;1;0;1;7
154;03/06/2001;0;0;0;0;0;0;1;1;2
155;04/06/2001;1;0;0;0;0;0;0;1;24
156;05/06/2001;0;1;0;0;0;0;0;1;21
157;06/06/2001;0;0;1;0;0;0;0;1;19
158;07/06/2001;0;0;0;1;0;0;0;1;15
159;08/06/2001;0;0;0;0;1;0;0;1;23
160;09/06/2001;0;0;0;0;0;1;0;1;8
161;10/06/2001;0;0;0;0;0;0;1;1;2
162;11/06/2001;1;0;0;0;0;0;0;1;15
163;12/06/2001;0;1;0;0;0;0;0;1;28
164;13/06/2001;0;0;1;0;0;0;0;1;17
165;14/06/2001;0;0;0;1;0;0;0;0;15
166;15/06/2001;0;0;0;0;1;0;0;0;9
167;16/06/2001;0;0;0;0;0;1;0;0;5
168;17/06/2001;0;0;0;0;0;0;1;0;1
169;18/06/2001;1;0;0;0;0;0;0;0;8
170;19/06/2001;0;1;0;0;0;0;0;0;9
171;20/06/2001;0;0;1;0;0;0;0;0;6
172;21/06/2001;0;0;0;1;0;0;0;0;13
173;22/06/2001;0;0;0;0;1;0;0;0;7
174;23/06/2001;0;0;0;0;0;1;0;0;4
175;24/06/2001;0;0;0;0;0;0;1;0;1
176;25/06/2001;1;0;0;0;0;0;0;0;7
177;26/06/2001;0;1;0;0;0;0;0;0;16
178;27/06/2001;0;0;1;0;0;0;0;0;11
179;28/06/2001;0;0;0;1;0;0;0;0;5
180;29/06/2001;0;0;0;0;1;0;0;0;8
181;30/06/2001;0;0;0;0;0;1;0;0;6
182;01/07/2001;0;0;0;0;0;0;1;0;1
183;02/07/2001;1;0;0;0;0;0;0;0;9
184;03/07/2001;0;1;0;0;0;0;0;0;11
185;04/07/2001;0;0;1;0;0;0;0;0;12
186;05/07/2001;0;0;0;1;0;0;0;NA;NA
187;06/07/2001;0;0;0;0;1;0;0;NA;NA
188;07/07/2001;0;0;0;0;0;1;0;0;5
189;08/07/2001;0;0;0;0;0;0;1;0;3
190;09/07/2001;1;0;0;0;0;0;0;0;11
191;10/07/2001;0;1;0;0;0;0;0;0;9
192;11/07/2001;0;0;1;0;0;0;0;0;14
193;12/07/2001;0;0;0;1;0;0;0;1;28
194;13/07/2001;0;0;0;0;1;0;0;1;23
195;14/07/2001;0;0;0;0;0;1;0;1;8
196;15/07/2001;0;0;0;0;0;0;1;1;6
197;16/07/2001;1;0;0;0;0;0;0;1;22
198;17/07/2001;0;1;0;0;0;0;0;1;25
199;18/07/2001;0;0;1;0;0;0;0;1;21
200;19/07/2001;0;0;0;1;0;0;0;1;32
201;20/07/2001;0;0;0;0;1;0;0;1;27
202;21/07/2001;0;0;0;0;0;1;0;1;5
203;22/07/2001;0;0;0;0;0;0;1;1;1
204;23/07/2001;1;0;0;0;0;0;0;1;20
205;24/07/2001;0;1;0;0;0;0;0;1;15
206;25/07/2001;0;0;1;0;0;0;0;1;16
207;26/07/2001;0;0;0;1;0;0;0;1;26
208;27/07/2001;0;0;0;0;1;0;0;1;24
209;28/07/2001;0;0;0;0;0;1;0;1;9
210;29/07/2001;0;0;0;0;0;0;1;1;4
211;30/07/2001;1;0;0;0;0;0;0;1;17
212;31/07/2001;0;1;0;0;0;0;0;1;22
213;01/08/2001;0;0;1;0;0;0;0;1;14
214;02/08/2001;0;0;0;1;0;0;0;1;11
215;03/08/2001;0;0;0;0;1;0;0;1;15
216;04/08/2001;0;0;0;0;0;1;0;1;5
217;05/08/2001;0;0;0;0;0;0;1;1;2
218;06/08/2001;1;0;0;0;0;0;0;1;24
219;07/08/2001;0;1;0;0;0;0;0;1;20
220;08/08/2001;0;0;1;0;0;0;0;1;25
221;09/08/2001;0;0;0;1;0;0;0;0;14
222;10/08/2001;0;0;0;0;1;0;0;0;11
223;11/08/2001;0;0;0;0;0;1;0;0;3
224;12/08/2001;0;0;0;0;0;0;1;0;0
225;13/08/2001;1;0;0;0;0;0;0;0;17
226;14/08/2001;0;1;0;0;0;0;0;0;10
227;15/08/2001;0;0;1;0;0;0;0;0;15
228;16/08/2001;0;0;0;1;0;0;0;0;10
229;17/08/2001;0;0;0;0;1;0;0;0;12
230;18/08/2001;0;0;0;0;0;1;0;0;2
231;19/08/2001;0;0;0;0;0;0;1;0;1
232;20/08/2001;1;0;0;0;0;0;0;0;11
233;21/08/2001;0;1;0;0;0;0;0;0;12
234;22/08/2001;0;0;1;0;0;0;0;0;14
235;23/08/2001;0;0;0;1;0;0;0;0;7
236;24/08/2001;0;0;0;0;1;0;0;0;9
237;25/08/2001;0;0;0;0;0;1;0;0;1
238;26/08/2001;0;0;0;0;0;0;1;0;1
239;27/08/2001;1;0;0;0;0;0;0;0;15
240;28/08/2001;0;1;0;0;0;0;0;0;8
241;29/08/2001;0;0;1;0;0;0;0;0;4
242;30/08/2001;0;0;0;1;0;0;0;0;15
243;31/08/2001;0;0;0;0;1;0;0;0;4
244;01/09/2001;0;0;0;0;0;1;0;0;5
245;02/09/2001;0;0;0;0;0;0;1;0;4
246;03/09/2001;1;0;0;0;0;0;0;0;11
247;04/09/2001;0;1;0;0;0;0;0;0;3
248;05/09/2001;0;0;1;0;0;0;0;0;8
249;06/09/2001;0;0;0;1;0;0;0;1;22
250;07/09/2001;0;0;0;0;1;0;0;1;29
251;08/09/2001;0;0;0;0;0;1;0;1;10
252;09/09/2001;0;0;0;0;0;0;1;1;3
253;10/09/2001;1;0;0;0;0;0;0;1;21
254;11/09/2001;0;1;0;0;0;0;0;1;31
255;12/09/2001;0;0;1;0;0;0;0;1;15
256;13/09/2001;0;0;0;1;0;0;0;1;27
257;14/09/2001;0;0;0;0;1;0;0;1;28
258;15/09/2001;0;0;0;0;0;1;0;1;9
259;16/09/2001;0;0;0;0;0;0;1;0;1
260;17/09/2001;1;0;0;0;0;0;0;0;18
261;18/09/2001;0;1;0;0;0;0;0;0;13
262;19/09/2001;0;0;1;0;0;0;0;0;15
263;20/09/2001;0;0;0;1;0;0;0;0;15
264;21/09/2001;0;0;0;0;1;0;0;0;12
265;22/09/2001;0;0;0;0;0;1;0;0;3
266;23/09/2001;0;0;0;0;0;0;1;0;1
267;24/09/2001;1;0;0;0;0;0;0;0;15
268;25/09/2001;0;1;0;0;0;0;0;0;16
269;26/09/2001;0;0;1;0;0;0;0;0;13
270;27/09/2001;0;0;0;1;0;0;0;0;13
271;28/09/2001;0;0;0;0;1;0;0;NA;NA
272;29/09/2001;0;0;0;0;0;1;0;0;8
273;30/09/2001;0;0;0;0;0;0;1;0;3
274;01/10/2001;1;0;0;0;0;0;0;0;16
275;02/10/2001;0;1;0;0;0;0;0;0;10
276;03/10/2001;0;0;1;0;0;0;0;0;14
277;04/10/2001;0;0;0;1;0;0;0;0;12
278;05/10/2001;0;0;0;0;1;0;0;0;14
279;06/10/2001;0;0;0;0;0;1;0;0;3
280;07/10/2001;0;0;0;0;0;0;1;0;2
281;08/10/2001;1;0;0;0;0;0;0;0;11
282;09/10/2001;0;1;0;0;0;0;0;0;8
283;10/10/2001;0;0;1;0;0;0;0;0;13
284;11/10/2001;0;0;0;1;0;0;0;0;10
285;12/10/2001;0;0;0;0;1;0;0;0;24
286;13/10/2001;0;0;0;0;0;1;0;0;7
287;14/10/2001;0;0;0;0;0;0;1;0;0
288;15/10/2001;1;0;0;0;0;0;0;0;12
289;16/10/2001;0;1;0;0;0;0;0;0;9
290;17/10/2001;0;0;1;0;0;0;0;0;13
291;18/10/2001;0;0;0;1;0;0;0;0;9
292;19/10/2001;0;0;0;0;1;0;0;0;10
293;20/10/2001;0;0;0;0;0;1;0;0;5
294;21/10/2001;0;0;0;0;0;0;1;0;4
295;22/10/2001;1;0;0;0;0;0;0;0;10
296;23/10/2001;0;1;0;0;0;0;0;0;12
297;24/10/2001;0;0;1;0;0;0;0;0;12
298;25/10/2001;0;0;0;1;0;0;0;0;8
299;26/10/2001;0;0;0;0;1;0;0;0;12
300;27/10/2001;0;0;0;0;0;1;0;0;2
301;28/10/2001;0;0;0;0;0;0;1;NA;NA
302;29/10/2001;1;0;0;0;0;0;0;0;16
303;30/10/2001;0;1;0;0;0;0;0;0;17
304;31/10/2001;0;0;1;0;0;0;0;1;33
305;01/11/2001;0;0;0;1;0;0;0;1;41
306;02/11/2001;0;0;0;0;1;0;0;1;46
307;03/11/2001;0;0;0;0;0;1;0;1;15
308;04/11/2001;0;0;0;0;0;0;1;1;9
309;05/11/2001;1;0;0;0;0;0;0;1;43
310;06/11/2001;0;1;0;0;0;0;0;1;57
311;07/11/2001;0;0;1;0;0;0;0;1;54
312;08/11/2001;0;0;0;1;0;0;0;1;58
313;09/11/2001;0;0;0;0;1;0;0;1;63
314;10/11/2001;0;0;0;0;0;1;0;1;10
315;11/11/2001;0;0;0;0;0;0;1;1;3
316;12/11/2001;1;0;0;0;0;0;0;1;41
317;13/11/2001;0;1;0;0;0;0;0;1;62
318;14/11/2001;0;0;1;0;0;0;0;1;41
319;15/11/2001;0;0;0;1;0;0;0;1;46
320;16/11/2001;0;0;0;0;1;0;0;1;49
321;17/11/2001;0;0;0;0;0;1;0;NA;NA
322;18/11/2001;0;0;0;0;0;0;1;1;7
323;19/11/2001;1;0;0;0;0;0;0;1;38
324;20/11/2001;0;1;0;0;0;0;0;1;29
325;21/11/2001;0;0;1;0;0;0;0;1;30
326;22/11/2001;0;0;0;1;0;0;0;1;48
327;23/11/2001;0;0;0;0;1;0;0;1;45
328;24/11/2001;0;0;0;0;0;1;0;1;19
329;25/11/2001;0;0;0;0;0;0;1;1;10
330;26/11/2001;1;0;0;0;0;0;0;1;29
331;27/11/2001;0;1;0;0;0;0;0;0;10
332;28/11/2001;0;0;1;0;0;0;0;0;17
333;29/11/2001;0;0;0;1;0;0;0;0;10
334;30/11/2001;0;0;0;0;1;0;0;0;18
335;01/12/2001;0;0;0;0;0;1;0;0;4
336;02/12/2001;0;0;0;0;0;0;1;0;2
337;03/12/2001;1;0;0;0;0;0;0;0;12
338;04/12/2001;0;1;0;0;0;0;0;0;11
339;05/12/2001;0;0;1;0;0;0;0;0;3
340;06/12/2001;0;0;0;1;0;0;0;0;7
341;07/12/2001;0;0;0;0;1;0;0;0;17
342;08/12/2001;0;0;0;0;0;1;0;0;3
343;09/12/2001;0;0;0;0;0;0;1;0;2
344;10/12/2001;1;0;0;0;0;0;0;0;11
345;11/12/2001;0;1;0;0;0;0;0;0;12
346;12/12/2001;0;0;1;0;0;0;0;1;14
347;13/12/2001;0;0;0;1;0;0;0;1;34
348;14/12/2001;0;0;0;0;1;0;0;1;33
349;15/12/2001;0;0;0;0;0;1;0;1;10
350;16/12/2001;0;0;0;0;0;0;1;1;6
351;17/12/2001;1;0;0;0;0;0;0;1;29
352;18/12/2001;0;1;0;0;0;0;0;1;28
353;19/12/2001;0;0;1;0;0;0;0;1;28
354;20/12/2001;0;0;0;1;0;0;0;1;30
355;21/12/2001;0;0;0;0;1;0;0;1;30
356;22/12/2001;0;0;0;0;0;1;0;1;10
357;23/12/2001;0;0;0;0;0;0;1;1;16
358;24/12/2001;1;0;0;0;0;0;0;NA;NA
359;25/12/2001;0;1;0;0;0;0;0;NA;NA
360;26/12/2001;0;0;1;0;0;0;0;NA;NA
361;27/12/2001;0;0;0;1;0;0;0;0;11
362;28/12/2001;0;0;0;0;1;0;0;0;9
363;29/12/2001;0;0;0;0;0;1;0;0;5
364;30/12/2001;0;0;0;0;0;0;1;0;3
365;31/12/2001;1;0;0;0;0;0;0;0;7
366;01/01/2002;0;1;0;0;0;0;0;NA;NA
367;02/01/2002;0;0;1;0;0;0;0;0;9
368;03/01/2002;0;0;0;1;0;0;0;0;10
369;04/01/2002;0;0;0;0;1;0;0;0;12
370;05/01/2002;0;0;0;0;0;1;0;0;7
371;06/01/2002;0;0;0;0;0;0;1;0;4
372;07/01/2002;1;0;0;0;0;0;0;0;15
373;08/01/2002;0;1;0;0;0;0;0;0;16
374;09/01/2002;0;0;1;0;0;0;0;0;12
375;10/01/2002;0;0;0;1;0;0;0;0;16
376;11/01/2002;0;0;0;0;1;0;0;0;19
377;12/01/2002;0;0;0;0;0;1;0;0;4
378;13/01/2002;0;0;0;0;0;0;1;0;0
379;14/01/2002;1;0;0;0;0;0;0;0;13
380;15/01/2002;0;1;0;0;0;0;0;0;9
381;16/01/2002;0;0;1;0;0;0;0;0;24
382;17/01/2002;0;0;0;1;0;0;0;0;13
383;18/01/2002;0;0;0;0;1;0;0;0;21
384;19/01/2002;0;0;0;0;0;1;0;0;7
385;20/01/2002;0;0;0;0;0;0;1;0;2
386;21/01/2002;1;0;0;0;0;0;0;0;14
387;22/01/2002;0;1;0;0;0;0;0;0;12
388;23/01/2002;0;0;1;0;0;0;0;0;10
389;24/01/2002;0;0;0;1;0;0;0;0;14
390;25/01/2002;0;0;0;0;1;0;0;0;21
391;26/01/2002;0;0;0;0;0;1;0;0;7
392;27/01/2002;0;0;0;0;0;0;1;0;0
393;28/01/2002;1;0;0;0;0;0;0;0;12
394;29/01/2002;0;1;0;0;0;0;0;0;13
395;30/01/2002;0;0;1;0;0;0;0;0;16
396;31/01/2002;0;0;0;1;0;0;0;0;25
397;01/02/2002;0;0;0;0;1;0;0;0;15
398;02/02/2002;0;0;0;0;0;1;0;0;5
399;03/02/2002;0;0;0;0;0;0;1;0;1
400;04/02/2002;1;0;0;0;0;0;0;0;12
401;05/02/2002;0;1;0;0;0;0;0;0;10
402;06/02/2002;0;0;1;0;0;0;0;1;21
403;07/02/2002;0;0;0;1;0;0;0;1;18
404;08/02/2002;0;0;0;0;1;0;0;1;23
405;09/02/2002;0;0;0;0;0;1;0;1;11
406;10/02/2002;0;0;0;0;0;0;1;1;3
407;11/02/2002;1;0;0;0;0;0;0;1;20
408;12/02/2002;0;1;0;0;0;0;0;1;26
409;13/02/2002;0;0;1;0;0;0;0;1;20
410;14/02/2002;0;0;0;1;0;0;0;1;25
411;15/02/2002;0;0;0;0;1;0;0;1;17
412;16/02/2002;0;0;0;0;0;1;0;1;11
413;17/02/2002;0;0;0;0;0;0;1;1;2
414;18/02/2002;1;0;0;0;0;0;0;1;25
415;19/02/2002;0;1;0;0;0;0;0;1;19
416;20/02/2002;0;0;1;0;0;0;0;1;21
417;21/02/2002;0;0;0;1;0;0;0;1;23
418;22/02/2002;0;0;0;0;1;0;0;1;40
419;23/02/2002;0;0;0;0;0;1;0;1;15
420;24/02/2002;0;0;0;0;0;0;1;1;3
421;25/02/2002;1;0;0;0;0;0;0;1;22
422;26/02/2002;0;1;0;0;0;0;0;1;35
423;27/02/2002;0;0;1;0;0;0;0;1;40
424;28/02/2002;0;0;0;1;0;0;0;1;25
425;01/03/2002;0;0;0;0;1;0;0;1;24
426;02/03/2002;0;0;0;0;0;1;0;1;17
427;03/03/2002;0;0;0;0;0;0;1;1;12
428;04/03/2002;1;0;0;0;0;0;0;1;18
429;05/03/2002;0;1;0;0;0;0;0;1;21
430;06/03/2002;0;0;1;0;0;0;0;1;39
431;07/03/2002;0;0;0;1;0;0;0;1;29
432;08/03/2002;0;0;0;0;1;0;0;1;31
433;09/03/2002;0;0;0;0;0;1;0;1;14
434;10/03/2002;0;0;0;0;0;0;1;1;4
435;11/03/2002;1;0;0;0;0;0;0;1;32
436;12/03/2002;0;1;0;0;0;0;0;1;34
437;13/03/2002;0;0;1;0;0;0;0;1;27
438;14/03/2002;0;0;0;1;0;0;0;1;30
439;15/03/2002;0;0;0;0;1;0;0;1;37
440;16/03/2002;0;0;0;0;0;1;0;1;17
441;17/03/2002;0;0;0;0;0;0;1;1;6
442;18/03/2002;1;0;0;0;0;0;0;1;30
443;19/03/2002;0;1;0;0;0;0;0;1;14
444;20/03/2002;0;0;1;0;0;0;0;1;22
445;21/03/2002;0;0;0;1;0;0;0;1;47
446;22/03/2002;0;0;0;0;1;0;0;1;38
447;23/03/2002;0;0;0;0;0;1;0;1;11
448;24/03/2002;0;0;0;0;0;0;1;1;8
449;25/03/2002;1;0;0;0;0;0;0;1;37
450;26/03/2002;0;1;0;0;0;0;0;1;33
451;27/03/2002;0;0;1;0;0;0;0;1;20
452;28/03/2002;0;0;0;1;0;0;0;1;27
453;29/03/2002;0;0;0;0;1;0;0;1;26
454;30/03/2002;0;0;0;0;0;1;0;1;10
455;31/03/2002;0;0;0;0;0;0;1;1;0
456;01/04/2002;1;0;0;0;0;0;0;1;22
457;02/04/2002;0;1;0;0;0;0;0;1;16
458;03/04/2002;0;0;1;0;0;0;0;1;20
459;04/04/2002;0;0;0;1;0;0;0;1;23
460;05/04/2002;0;0;0;0;1;0;0;1;28
461;06/04/2002;0;0;0;0;0;1;0;1;14
462;07/04/2002;0;0;0;0;0;0;1;1;3
463;08/04/2002;1;0;0;0;0;0;0;1;24
464;09/04/2002;0;1;0;0;0;0;0;1;20
465;10/04/2002;0;0;1;0;0;0;0;1;20
466;11/04/2002;0;0;0;1;0;0;0;1;33
467;12/04/2002;0;0;0;0;1;0;0;1;28
468;13/04/2002;0;0;0;0;0;1;0;1;15
469;14/04/2002;0;0;0;0;0;0;1;1;4
470;15/04/2002;1;0;0;0;0;0;0;1;25
471;16/04/2002;0;1;0;0;0;0;0;0;17
472;17/04/2002;0;0;1;0;0;0;0;0;26
473;18/04/2002;0;0;0;1;0;0;0;0;16
474;19/04/2002;0;0;0;0;1;0;0;0;3
475;20/04/2002;0;0;0;0;0;1;0;0;4
476;21/04/2002;0;0;0;0;0;0;1;0;2
477;22/04/2002;1;0;0;0;0;0;0;NA;NA
478;23/04/2002;0;1;0;0;0;0;0;0;21
479;24/04/2002;0;0;1;0;0;0;0;0;20
480;25/04/2002;0;0;0;1;0;0;0;0;22
481;26/04/2002;0;0;0;0;1;0;0;0;13
482;27/04/2002;0;0;0;0;0;1;0;0;8
483;28/04/2002;0;0;0;0;0;0;1;0;1
484;29/04/2002;1;0;0;0;0;0;0;0;10
485;30/04/2002;0;1;0;0;0;0;0;0;22
486;01/05/2002;0;0;1;0;0;0;0;NA;NA
487;02/05/2002;0;0;0;1;0;0;0;0;19
488;03/05/2002;0;0;0;0;1;0;0;0;17
489;04/05/2002;0;0;0;0;0;1;0;0;9
490;05/05/2002;0;0;0;0;0;0;1;0;3
491;06/05/2002;1;0;0;0;0;0;0;0;28
492;07/05/2002;0;1;0;0;0;0;0;0;14
493;08/05/2002;0;0;1;0;0;0;0;NA;NA
494;09/05/2002;0;0;0;1;0;0;0;0;17
495;10/05/2002;0;0;0;0;1;0;0;0;21
496;11/05/2002;0;0;0;0;0;1;0;0;6
497;12/05/2002;0;0;0;0;0;0;1;0;4
498;13/05/2002;1;0;0;0;0;0;0;0;21
499;14/05/2002;0;1;0;0;0;0;0;0;19
500;15/05/2002;0;0;1;0;0;0;0;1;26
501;16/05/2002;0;0;0;1;0;0;0;1;39
502;17/05/2002;0;0;0;0;1;0;0;1;35
503;18/05/2002;0;0;0;0;0;1;0;1;20
504;19/05/2002;0;0;0;0;0;0;1;1;5
505;20/05/2002;1;0;0;0;0;0;0;1;25
506;21/05/2002;0;1;0;0;0;0;0;1;25
507;22/05/2002;0;0;1;0;0;0;0;1;27
508;23/05/2002;0;0;0;1;0;0;0;1;28
509;24/05/2002;0;0;0;0;1;0;0;1;25
510;25/05/2002;0;0;0;0;0;1;0;1;7
511;26/05/2002;0;0;0;0;0;0;1;1;3
512;27/05/2002;1;0;0;0;0;0;0;1;29
513;28/05/2002;0;1;0;0;0;0;0;1;28
514;29/05/2002;0;0;1;0;0;0;0;1;31
